Contest Year,R/O,Country,Artist,Song,Language,Points,Place
2004,22,Netherlands,Re-Union,"""Without You""",English,146,6
2005,1,Austria,Global.Kryner,"""Y así""","English, Spanish",30,21
2005,2,Lithuania,Laura and the Lovers,"""Little by Little""",English,17,25
2005,3,Portugal,2B,"""Amar""","Portuguese, English",51,17
2005,4,Moldova,Zdob și Zdub,"""Boonika bate toba""","English, Romanian",207,2
2005,5,Latvia,Walters and Kazha,"""The War Is Not Over""",English,85,10
2005,6,Monaco,Lise Darly,"""Tout de moi""",French,22,24
2005,7,Israel,Shiri Maimon,"""HaSheket SheNish'ar"" (השקט שנשאר)","Hebrew, English",158,7
2005,8,Belarus,Angelica Agurbash,"""Love Me Tonight""",English,67,13
2005,9,Netherlands,Glennis Grace,"""My Impossible Dream""",English,53,14
2005,10,Iceland,Selma,"""If I Had Your Love""",English,52,16
2005,11,Belgium,Nuno Resende,"""Le grand soir""",French,29,22
2005,12,Estonia,Suntribe,"""Let's Get Loud""",English,31,20
2005,13,Norway,Wig Wam,"""In My Dreams""",English,164,6
2005,14,Romania,Luminița Anghel and Sistem,"""Let Me Try""",English,235,1
2005,15,Hungary,Nox,"""Forogj, világ""",Hungarian,167,5
2005,16,Finland,Geir Rönning,"""Why""",English,50,18
2005,17,Macedonia,Martin Vučić,"""Make My Day""",English,97,9
2005,18,Andorra,Marian van de Wal,"""La mirada interior""",Catalan,27,23
2005,19,Switzerland,Vanilla Ninja,"""Cool Vibes""",English,114,8
2005,20,Croatia,Boris Novković feat. Lado members,"""Vukovi umiru sami""",Croatian,169,4
2005,21,Bulgaria,Kaffe,"""Lorraine""",English,49,19
2005,22,Ireland,Donna and Joe,"""Love?""",English,53,14
2005,23,Slovenia,Omar Naber,"""Stop""",Slovene,69,12
2005,24,Denmark,Jakob Sveistrup,"""Talking to You""",English,185,3
2005,25,Poland,Ivan and Delfin,"""Czarna dziewczyna""","Polish, Russian",81,11
2006,1,Armenia,André,"""Without Your Love""",English,150,6
2006,2,Bulgaria,Mariana Popova,"""Let Me Cry""",English,36,17
2006,3,Slovenia,Anžej Dežan,"""Mr Nobody""",English,49,16
2006,4,Andorra,Jenny,"""Sense tu""",Catalan,8,23
2006,5,Belarus,Polina Smolova,"""Mum""",English,10,22
2006,6,Albania,Luiz Ejlli,"""Zjarr e ftohtë""",Albanian,58,14
2006,7,Belgium,Kate Ryan,"""Je t'adore""",English,69,12
2006,8,Ireland,Brian Kennedy,"""Every Song Is a Cry for Love""",English,79,9
2006,9,Cyprus,Annet Artani,"""Why Angels Cry""",English,57,15
2006,10,Monaco,Séverine Ferrer,"""La Coco-Dance""","French, Tahitian",14,21
2006,11,Macedonia,Elena Risteska,"""Ninanajna"" (Нинанајна)","English, Macedonian",76,10
2006,12,Poland,Ich Troje,"""Follow My Heart""","English, Polish, German, Russian",70,11
2006,13,Russia,Dima Bilan,"""Never Let You Go""",English,217,3
2006,14,Turkey,Sibel Tüzün,"""Süper Star""",Turkish,91,8
2006,15,Ukraine,Tina Karol,"""Show Me Your Love""",English,146,7
2006,16,Finland,Lordi,"""Hard Rock Hallelujah""",English,292,1
2006,17,Netherlands,Treble,"""Amambanda""","English, Imaginary",22,20
2006,18,Lithuania,LT United,"""We Are the Winners""",English,163,5
2006,19,Portugal,Nonstop,"""Coisas de nada""","Portuguese, English",26,19
2006,20,Sweden,Carola,"""Invincible""",English,214,4
2006,21,Estonia,Sandra,"""Through My Window""",English,28,18
2006,22,Bosnia and Herzegovina,Hari Mata Hari,"""Lejla""",Bosnian,267,2
2006,23,Iceland,Silvía Night,"""Congratulations""",English,62,13
2007,1,Bulgaria,Elitsa Todorova and Stoyan Yankoulov,"""Water""",Bulgarian,146,6
2007,2,Israel,Teapacks,"""Push the Button""","English, French, Hebrew",17,24
2007,3,Cyprus,Evridiki,"""Comme ci, comme ça""",French,65,15
2007,4,Belarus,Koldun,"""Work Your Magic""",English,176,4
2007,5,Iceland,Eiríkur Hauksson,"""Valentine Lost""",English,77,13
2007,6,Georgia,Sopho,"""Visionary Dream""",English,123,8
2007,7,Montenegro,Stevan Faddy,"""'Ajde, kroči"" ('Ајде, крочи)",Montenegrin,33,22
2007,8,Switzerland,DJ BoBo,"""Vampires Are Alive""",English,40,20
2007,9,Moldova,Natalia Barbu,"""Fight""",English,91,10
2007,10,Netherlands,Edsilia Rombley,"""On Top of the World""",English,38,21
2007,11,Albania,Frederik Ndoci,"""Hear My Plea""","English, Albanian",49,17
2007,12,Denmark,DQ,"""Drama Queen""",English,45,19
2007,13,Croatia,Dragonfly feat. Dado Topić,"""Vjerujem u ljubav""","Croatian, English",54,16
2007,14,Poland,The Jet Set,"""Time to Party""",English,75,14
2007,15,Serbia,Marija Šerifović,"""Molitva"" (Молитва)",Serbian,298,1
2007,16,Czech Republic,Kabát,"""Malá dáma""",Czech,1,28
2007,17,Portugal,Sabrina,"""Dança comigo""","Portuguese, English",88,11
2007,18,Macedonia,Karolina,"""Mojot svet"" (Мојот свет)","Macedonian, English",97,9
2007,19,Norway,Guri Schanke,"""Ven a bailar conmigo""",English,48,18
2007,20,Malta,Olivia Lewis,"""Vertigo""",English,15,25
2007,21,Andorra,Anonymous,"""Salvem el món""","Catalan, English",80,12
2007,22,Hungary,Magdi Rúzsa,"""Unsubstantial Blues""",English,224,2
2007,23,Estonia,Gerli Padar,"""Partners in Crime""",English,33,22
2007,24,Belgium,The KMG's,"""LovePower""",English,14,26
2007,25,Slovenia,Alenka Gotar,"""Cvet z juga""",Slovene,140,7
2007,26,Turkey,Kenan Doğulu,"""Shake It Up Şekerim""",English,197,3
2007,27,Austria,Eric Papilaya,"""Get a Life – Get Alive""",English,4,27
2007,28,Latvia,Bonaparti.lv,"""Questa notte""",Italian,168,5
2008,1,Montenegro,Stefan Filipović,"""Zauvijek volim te"" (Заувијек волим те)",Montenegrin,23,14
2008,2,Israel,Boaz,"""The Fire in Your Eyes""",Hebrew,104,5
2008,3,Estonia,Kreisiraadio,"""Leto svet""","Serbian, German, Finnish",8,18
2008,4,Moldova,Geta Burlacu,"""A Century of Love""",English,36,12
2008,5,San Marino,Miodio,"""Complice""",Italian,5,19
2008,6,Belgium,Ishtar,"""O Julissi""",Imaginary,16,17
2008,7,Azerbaijan,Elnur and Samir,"""Day After Day""",English,96,6
2008,8,Slovenia,Rebeka Dremelj,"""Vrag naj vzame""",Slovene,36,11
2008,9,Norway,Maria,"""Hold On Be Strong""",English,106,4
2008,10,Poland,Isis Gee,"""For Life""",English,42,10 ‡
2008,11,Ireland,Dustin the Turkey,"""Irelande Douze Pointe""",English,22,15
2008,12,Andorra,Gisela,"""Casanova""",English,22,16
2008,13,Bosnia and Herzegovina,Laka,"""Pokušaj""",Bosnian,72,9
2008,14,Armenia,Sirusho,"""Qélé, Qélé"" (Քելե Քելե)","English, Armenian",139,2
2008,15,Netherlands,Hind,"""Your Heart Belongs to Me""",English,27,13
2008,16,Finland,Teräsbetoni,"""Missä miehet ratsastaa""",Finnish,79,8
2008,17,Romania,Nico and Vlad,"""Pe-o margine de lume""","Romanian, Italian",94,7
2008,18,Russia,Dima Bilan,"""Believe""",English,135,3
2008,19,Greece,Kalomira,"""Secret Combination""",English,156,1
2009,1,Montenegro,Andrea Demirović,"""Just Get Out of My Life""",English,44,11
2009,2,Czech Republic,Gipsy.cz,"""Aven Romale""","English, Romani",0,18
2009,3,Belgium,Copycat,"""Copycat""",English,1,17
2009,4,Belarus,Petr Elfimov,"""Eyes That Never Lie""",English,25,13
2009,5,Sweden,Malena Ernman,"""La voix""","French, English",105,4
2009,6,Armenia,Inga and Anush,"""Jan Jan"" (Ջան Ջան)","English, Armenian",99,5
2009,7,Andorra,Susanne Georgi,"""La teva decisió (Get a Life)""","Catalan, English",8,15
2009,8,Switzerland,Lovebugs,"""The Highest Heights""",English,15,14
2009,9,Turkey,Hadise,"""Düm Tek Tek""",English,172,2
2009,10,Israel,Noa and Mira Awad,"""There Must Be Another Way""","English, Hebrew, Arabic",75,7
2009,11,Bulgaria,Krassimir Avramov,"""Illusion""",English,7,16
2009,12,Iceland,Yohanna,"""Is It True?""",English,174,1
2009,13,Macedonia,Next Time,"""Nešto što kje ostane"" (Нешто што ќе остане)",Macedonian,45,10
2009,14,Romania,Elena,"""The Balkan Girls""",English,67,9
2009,15,Finland,Waldo's People,"""Lose Control""",English,42,12 ‡
2009,16,Portugal,Flor-de-Lis,"""Todas as ruas do amor""",Portuguese,70,8
2009,17,Malta,Chiara,"""What If We""",English,86,6
2009,18,Bosnia and Herzegovina,Regina,"""Bistra voda""",Bosnian,125,3
2010,1,Moldova,SunStroke Project and Olia Tira,"""Run Away""",English,52,10
2010,2,Russia,Peter Nalitch and Friends,"""Lost and Forgotten""",English,74,7
2010,3,Estonia,Malcolm Lincoln,"""Siren""",English,39,14
2010,4,Slovakia,Kristína,"""Horehronie""",Slovak,24,16
2010,5,Finland,Kuunkuiskaajat,"""Työlki ellää""",Finnish,49,11
2010,6,Latvia,Aisha,"""What For?""",English,11,17
2010,7,Serbia,Milan Stanković,"""Ovo je Balkan"" (Oво je Балкан)",Serbian,79,5
2010,8,Bosnia and Herzegovina,Vukašin Brajić,"""Thunder and Lightning""",English,59,8
2010,9,Poland,Marcin Mroziński,"""Legenda""","English, Polish",44,13
2010,10,Belgium,Tom Dice,"""Me and My Guitar""",English,167,1
2010,11,Malta,Thea Garrett,"""My Dream""",English,45,12
2010,12,Albania,Juliana Pasha,"""It's All About You""",English,76,6
2010,13,Greece,Giorgos Alkaios and Friends,"""Opa"" (Ώπα)",Greek,133,2
2010,14,Portugal,Filipa Azevedo,"""Há dias assim""",Portuguese,89,4
2010,15,Macedonia,Gjoko Taneski,"""Jas ja imam silata"" (Јас ја имам силата)",Macedonian,37,15
2010,16,Belarus,3+2 feat. Robert Wells,"""Butterflies""",English,59,9
2010,17,Iceland,Hera Björk,"""Je ne sais quoi""",English,123,3
2011,1,Poland,Magdalena Tul,"""Jestem""",Polish,18,19
2011,2,Norway,Stella Mwangi,"""Haba Haba""","English, Swahili",30,17
2011,3,Albania,Aurela Gaçe,"""Feel the Passion""",English,47,14
2011,4,Armenia,Emmy,"""Boom Boom""",English,54,12
2011,5,Turkey,Yüksek Sadakat,"""Live It Up""",English,47,13
2011,6,Serbia,Nina,"""Čaroban"" (Чаробан)",Serbian,67,8
2011,7,Russia,Alexey Vorobyov,"""Get You""","English, Russian",64,9
2011,8,Switzerland,Anna Rossinelli,"""In Love for a While""",English,55,10
2011,9,Georgia,Eldrine,"""One More Day""",English,74,6
2011,10,Finland,Paradise Oskar,"""Da Da Dam""",English,103,3
2011,11,Malta,Glen Vella,"""One Life""",English,54,11
2011,12,San Marino,Senit,"""Stand By""",English,34,16
2011,13,Croatia,Daria,"""Celebrate""",English,41,15
2011,14,Iceland,Sjonni's Friends,"""Coming Home""",English,100,4
2011,15,Hungary,Kati Wolf,"""What About My Dreams?""","English, Hungarian",72,7
2011,16,Portugal,Homens da Luta,"""A luta é alegria""",Portuguese,22,18
2011,17,Lithuania,Evelina Sašenko,"""C'est ma vie""",English,81,5
2011,18,Azerbaijan,Ell and Nikki,"""Running Scared""",English,122,2
2011,19,Greece,Loukas Yorkas feat. Stereo Mike,"""Watch My Dance""","English, Greek",133,1
2012,1,Montenegro,Rambo Amadeus,"""Euro Neuro""",English,20,15
2012,2,Iceland,Greta Salóme and Jónsi,"""Never Forget""",English,75,8
2012,3,Greece,Eleftheria Eleftheriou,"""Aphrodisiac""",English,116,4
2012,4,Latvia,Anmary,"""Beautiful Song""",English,17,16
2012,5,Albania,Rona Nishliu,"""Suus""",Albanian,146,2
2012,6,Romania,Mandinga,"""Zaleilah""","Spanish, English",120,3
2012,7,Switzerland,Sinplus,"""Unbreakable""",English,45,11
2012,8,Belgium,Iris,"""Would You?""",English,16,17
2012,9,Finland,Pernilla,"""När jag blundar""",Swedish,41,12
2012,10,Israel,Izabo,"""Time""","English, Hebrew",33,13
2012,11,San Marino,Valentina Monetta,"""The Social Network Song (Oh Oh – Uh - Oh Oh)""",English,31,14
2012,12,Cyprus,Ivi Adamou,"""La La Love""",English,91,7
2012,13,Denmark,Soluna Samay,"""Should've Known Better""",English,63,9
2012,14,Russia,Buranovskiye Babushki,"""Party for Everybody""","Udmurt, English",152,1
2012,15,Hungary,Compact Disco,"""Sound of Our Hearts""",English,52,10
2012,16,Austria,Trackshittaz,"""Woki mit deim Popo""",German,8,18
2012,17,Moldova,Pasha Parfeny,"""Lăutar""",English,100,5
2012,18,Ireland,Jedward,"""Waterline""",English,92,6
2013,1,Austria,Natália Kelly,"""Shine""",English,27,14
2013,2,Estonia,Birgit,"""Et uus saaks alguse""",Estonian,52,10
2013,3,Slovenia,Hannah,"""Straight into Love""",English,8,16
2013,4,Croatia,Klapa s Mora,"""Mižerja""",Croatian,38,13
2013,5,Denmark,Emmelie de Forest,"""Only Teardrops""",English,167,1
2013,6,Russia,Dina Garipova,"""What If""",English,156,2
2013,7,Ukraine,Zlata Ognevich,"""Gravity""",English,140,3
2013,8,Netherlands,Anouk,"""Birds""",English,75,6
2013,9,Montenegro,Who See,"""Igranka"" (Игранка)",Montenegrin,41,12
2013,10,Lithuania,Andrius Pojavis,"""Something""",English,53,9
2013,11,Belarus,Alyona Lanskaya,"""Solayoh""",English,64,7
2013,12,Moldova,Aliona Moon,"""O mie""",Romanian,95,4
2013,13,Ireland,Ryan Dolan,"""Only Love Survives""",English,54,8
2013,14,Cyprus,Despina Olympiou,"""An me thimasai"" (Aν με θυμάσαι)",Greek,11,15
2013,15,Belgium,Roberto Bellarosa,"""Love Kills""",English,75,5
2013,16,Serbia,Moje 3,"""Ljubav je svuda"" (Љубав је свуда)",Serbian,46,11
2014,1,Armenia,Aram Mp3,"""Not Alone""",English,121,4
2014,2,Latvia,Aarzemnieki,"""Cake to Bake""",English,33,13
2014,3,Estonia,Tanja,"""Amazing""",English,36,12
2014,4,Sweden,Sanna Nielsen,"""Undo""",English,131,2
2014,5,Iceland,Pollapönk,"""No Prejudice""",English,61,8
2014,6,Albania,Hersi,"""One Night's Anger""",English,22,15
2014,7,Russia,Tolmachevy Sisters,"""Shine""",English,63,6
2014,8,Azerbaijan,Dilara Kazimova,"""Start a Fire""",English,57,9
2014,9,Ukraine,Mariya Yaremchuk,"""Tick-Tock""",English,118,5
2014,10,Belgium,Axel Hirsoux,"""Mother""",English,28,14
2014,11,Moldova,Cristina Scarlat,"""Wild Soul""",English,13,16
2014,12,San Marino,Valentina Monetta,"""Maybe""",English,40,10
2014,13,Portugal,Suzy,"""Quero ser tua""",Portuguese,39,11
2014,14,Netherlands,The Common Linnets,"""Calm After the Storm""",English,150,1
2014,15,Montenegro,Sergej Ćetković,"""Moj svijet"" (Мој свијет)",Montenegrin,63,7
2014,16,Hungary,András Kállay-Saunders,"""Running""",English,127,3
2015,1,Moldova,Eduard Romanyuta,"""I Want Your Love""",English,41,11
2015,2,Armenia,Genealogy,"""Face the Shadow""",English,77,7
2015,3,Belgium,Loïc Nottet,"""Rhythm Inside""",English,149,2
2015,4,Netherlands,Trijntje Oosterhuis,"""Walk Along""",English,33,14
2015,5,Finland,Pertti Kurikan Nimipäivät,"""Aina mun pitää""",Finnish,13,16
2015,6,Greece,Maria Elena Kyriakou,"""One Last Breath""",English,81,6
2015,7,Estonia,Elina Born and Stig Rästa,"""Goodbye to Yesterday""",English,105,3
2015,8,Macedonia,Daniel Kajmakoski,"""Autumn Leaves""",English,28,15
2015,9,Serbia,Bojana Stamenov,"""Beauty Never Lies""",English,63,9
2015,10,Hungary,Boggie,"""Wars for Nothing""",English,67,8
2015,11,Belarus,Uzari and Maimuna,"""Time""",English,39,12
2015,12,Russia,Polina Gagarina,"""A Million Voices""",English,182,1
2015,13,Denmark,Anti Social Media,"""The Way You Are""",English,33,13
2015,14,Albania,Elhaida Dani,"""I'm Alive""",English,62,10
2015,15,Romania,Voltaj,"""De la capăt""","Romanian, English",89,5
2015,16,Georgia,Nina Sublatti,"""Warrior""",English,98,4
2016,1,Finland,Sandhja,"""Sing It Away""",English,51,15
2016,2,Greece,Argo,"""Utopian Land""","English, Greek",44,16
2016,3,Moldova,Lidia Isac,"""Falling Stars""",English,33,17
2016,4,Hungary,Freddie,"""Pioneer""",English,197,4
2016,5,Croatia,Nina Kraljić,"""Lighthouse""",English,133,10
2016,6,Netherlands,Douwe Bob,"""Slow Down""",English,197,5
2016,7,Armenia,Iveta Mukuchyan,"""LoveWave""",English,243,2
2016,8,San Marino,Serhat,"""I Didn't Know""",English,68,12
2016,9,Russia,Sergey Lazarev,"""You Are the Only One""",English,342,1
2016,10,Czech Republic,Gabriela Gunčíková,"""I Stand""",English,161,9
2016,11,Cyprus,Minus One,"""Alter Ego""",English,164,8
2016,12,Austria,Zoë,"""Loin d'ici""",French,170,7
2016,13,Estonia,Jüri Pootsmann,"""Play""",English,24,18
2016,14,Azerbaijan,Samra,"""Miracle""",English,185,6
2016,15,Montenegro,Highway,"""The Real Thing""",English,60,13
2016,16,Iceland,Greta Salóme,"""Hear Them Calling""",English,51,14
2016,17,Bosnia and Herzegovina,Dalal and Deen feat. Ana Rucner and Jala,"""Ljubav je""",Bosnian,104,11
2016,18,Malta,Ira Losco,"""Walk on Water""",English,209,3
2017,1,Sweden,Robin Bengtsson,"""I Can't Go On""",English,227,3
2017,2,Georgia,Tamara Gachechiladze,"""Keep the Faith""",English,99,11
2017,3,Australia,Isaiah,"""Don't Come Easy""",English,160,6
2017,4,Albania,Lindita,"""World""",English,76,14
2017,5,Belgium,Blanche,"""City Lights""",English,165,4
2017,6,Montenegro,Slavko Kalezić,"""Space""",English,56,16
2017,7,Finland,Norma John,"""Blackbird""",English,92,12
2017,8,Azerbaijan,Dihaj,"""Skeletons""",English,150,8
2017,9,Portugal,Salvador Sobral,"""Amar pelos dois""",Portuguese,370,1
2017,10,Greece,Demy,"""This Is Love""",English,115,10
2017,11,Poland,Kasia Moś,"""Flashlight""",English,119,9
2017,12,Moldova,SunStroke Project,"""Hey Mamma""",English,291,2
2017,13,Iceland,Svala,"""Paper""",English,60,15
2017,14,Czech Republic,Martina Bárta,"""My Turn""",English,83,13
2017,15,Cyprus,Hovig,"""Gravity""",English,164,5
2017,16,Armenia,Artsvik,"""Fly with Me""",English,152,7
2017,17,Slovenia,Omar Naber,"""On My Way""",English,36,17
2017,18,Latvia,Triana Park,"""Line""",English,21,18
2018,1,Azerbaijan,Aisel,"""X My Heart""",English,94,11
2018,2,Iceland,Ari Ólafsson,"""Our Choice""",English,15,19
2018,3,Albania,Eugent Bushpepa,"""Mall""",Albanian,162,8
2018,4,Belgium,Sennek,"""A Matter of Time""",English,91,12
2018,5,Czech Republic,Mikolas Josef,"""Lie to Me""",English,232,3
2018,6,Lithuania,Ieva Zasimauskaitė,"""When We're Old""",English,119,9
2018,7,Israel,Netta,"""Toy""",English,283,1
2018,8,Belarus,Alekseev,"""Forever""",English,65,16
2018,9,Estonia,Elina Nechayeva,"""La forza""",Italian,201,5
2018,10,Bulgaria,Equinox,"""Bones""",English,177,7
2018,11,Macedonia,Eye Cue,"""Lost and Found""",English,24,18
2018,12,Croatia,Franka,"""Crazy""",English,63,17
2018,13,Austria,Cesár Sampson,"""Nobody but You""",English,231,4
2018,14,Greece,Yianna Terzi,"""Oniro mou"" (Όνειρό μου)",Greek,81,14
2018,15,Finland,Saara Aalto,"""Monsters""",English,108,10
2018,16,Armenia,Sevak Khanagyan,"""Qami"" (Քամի)",Armenian,79,15
2018,17,Switzerland,Zibbz,"""Stones""",English,86,13
2018,18,Ireland,Ryan O'Shaughnessy,"""Together""",English,179,6
2018,19,Cyprus,Eleni Foureira,"""Fuego""",English,262,2
2019,1,Cyprus,Tamta,"""Replay""",English,149,9
2019,2,Montenegro,D mol,"""Heaven""",English,46,16
2019,3,Finland,Darude feat. Sebastian Rejman,"""Look Away""",English,23,17
2019,4,Poland,Tulia,"""Fire of Love (Pali się)""","Polish, English",120,11
2019,5,Slovenia,Zala Kralj and Gašper Šantl,"""Sebi""",Slovene,167,6
2019,6,Czech Republic,Lake Malawi,"""Friend of a Friend""",English,242,2
2019,7,Hungary,Joci Pápai,"""Az én apám""",Hungarian,97,12
2019,8,Belarus,Zena,"""Like It""",English,122,10
2019,9,Serbia,Nevena Božović,"""Kruna"" (Круна)",Serbian,156,7
2019,10,Belgium,Eliot,"""Wake Up""",English,70,13
2019,11,Georgia,Oto Nemsadze,"""Keep On Going""",Georgian,62,14
2019,12,Australia,Kate Miller-Heidke,"""Zero Gravity""",English,261,1
2019,13,Iceland,Hatari,"""Hatrið mun sigra""",Icelandic,221,3
2019,14,Estonia,Victor Crone,"""Storm""",English,198,4
2019,15,Portugal,Conan Osíris,"""Telemóveis""",Portuguese,51,15
2019,16,Greece,Katerine Duska,"""Better Love""",English,185,5
2019,17,San Marino,Serhat,"""Say Na Na Na""",English,150,8
2020,1,Sweden,The Mamas,"""Move""",English
2020,2,Belarus,VAL,"""Da vidna"" (Да відна)",Belarusian
2020,3,Australia,Montaigne,"""Don't Break Me""",English
2020,4,North Macedonia,Vasil,"""You""",English
2020,5,Slovenia,Ana Soklič,"""Voda""",Slovene
2020,6,Lithuania,The Roop,"""On Fire""",English
2020,7,Ireland,Lesley Roy,"""Story of My Life""",English
2020,8,Russia,Little Big,"""Uno""","English, Spanish"
2020,9,Belgium,Hooverphonic,"""Release Me""",English
2020,10,Malta,Destiny,"""All of My Love""",English
2020,11,Croatia,Damir Kedžo,"""Divlji vjetre""",Croatian
2020,12,Azerbaijan,Efendi,"""Cleopatra""",English
2020,13,Cyprus,Sandro,"""Running""",English
2020,14,Norway,Ulrikke,"""Attention""",English
2020,15,Israel,Eden Alene,"""Feker Libi"" (ፍቅር ልቤ)","English, Amharic"
2020,16,Romania,Roxen,"""Alcohol You""",English
2020,17,Ukraine,Go_A,"""Solovey"" (Соловей)",Ukrainian
2021,1,Lithuania,The Roop,"""Discoteque""",English,203,4
2021,2,Slovenia,Ana Soklič,"""Amen""",English,44,13
2021,3,Russia,Manizha,"""Russian Woman""","Russian, English",225,3
2021,4,Sweden,Tusse,"""Voices""",English,142,7
2021,5,Australia,Montaigne,"""Technicolour""",English,28,14
2021,6,North Macedonia,Vasil,"""Here I Stand""",English,23,15
2021,7,Ireland,Lesley Roy,"""Maps""",English,20,16
2021,8,Cyprus,Elena Tsagrinou,"""El Diablo""",English,170,6
2021,9,Norway,Tix,"""Fallen Angel""",English,115,10
2021,10,Croatia,Albina,"""Tick-Tock""","English, Croatian",110,11
2021,11,Belgium,Hooverphonic,"""The Wrong Place""",English,117,9
2021,12,Israel,Eden Alene,"""Set Me Free""",English,192,5
2021,13,Romania,Roxen,"""Amnesia""",English,85,12
2021,14,Azerbaijan,Efendi,"""Mata Hari""",English,138,8
2021,15,Ukraine,Go_A,"""Shum"" (Шум)",Ukrainian,267,2
2021,16,Malta,Destiny,"""Je me casse""",English,325,1
2022,1,Albania,Ronela Hajati,"""Sekret""","Albanian, English",58,12
2022,2,Latvia,Citi Zēni,"""Eat Your Salad""",English,55,14
2022,3,Lithuania,Monika Liu,"""Sentimentai""",Lithuanian,159,7
2022,4,Switzerland,Marius Bear,"""Boys Do Cry""",English,118,9
2022,5,Slovenia,LPS,"""Disko""",Slovene,15,17
2022,6,Ukraine,Kalush Orchestra,"""Stefania"" (Стефанія)",Ukrainian,337,1
2022,7,Bulgaria,Intelligent Music Project,"""Intention""",English,29,16
2022,8,Netherlands,S10,"""De diepte""",Dutch,221,2
2022,9,Moldova,Zdob și Zdub and Advahov Brothers,"""Trenulețul""","Romanian, English",154,8
2022,10,Portugal,Maro,"""Saudade, saudade""","English, Portuguese",208,4
2022,11,Croatia,Mia Dimšić,"""Guilty Pleasure""","English, Croatian",75,11
2022,12,Denmark,Reddi,"""The Show""",English,55,13
2022,13,Austria,Lumix feat. Pia Maria,"""Halo""",English,42,15
2022,14,Iceland,Systur,"""Með hækkandi sól""",Icelandic,103,10
2022,15,Greece,Amanda Georgiadi Tenfjord,"""Die Together""",English,211,3
2022,16,Norway,Subwoolfer,"""Give That Wolf a Banana""",English,177,6
2022,17,Armenia,Rosa Linn,"""Snap""",English,187,5
